Symbol	RAPdb	MSU	path
			data/Family/O/Oryza_sativa_peptides
			data/Family/O/Oryza_sativa_peptides
			data/Family/O/Oryza_sativa_peptides
			data/Family/O/Oryza_sativa_peptides
ABCA1	Os02g0211000	LOC_Os02g11960	data/Family/A/ABCA
ABCA2	Os06g0589300	LOC_Os06g38950	data/Family/A/ABCA
ABCA3	Os08g0398000	LOC_Os08g30740	data/Family/A/ABCA
ABCA4	Os08g0398300	LOC_Os08g30770	data/Family/A/ABCA
ABCA5	Os08g0398350	LOC_Os08g30780	data/Family/A/ABCA
ABCA6	Os09g0360900	None	data/Family/A/ABCA
ABCB10	Os02g0323000	LOC_Os02g21750	data/Family/A/ABCB
ABCB13	Os03g0280000	LOC_Os03g17180	data/Family/A/ABCB
ABCB18	Os05g0548300	LOC_Os05g47490	data/Family/A/ABCB
ABCB19	Os05g0548500	LOC_Os05g47500	data/Family/A/ABCB
ABCB23	Os06g0128300	LOC_Os06g03770	data/Family/A/ABCB
ABCB24	Os01g0911300	LOC_Os01g68330	data/Family/A/ABCB
ABCB26	Os07g0464600	LOC_Os07g28090	data/Family/A/ABCB
ABCB27	Os04g0413000	LOC_Os04g33700	data/Family/A/ABCB
ABCB9	Os02g0190300	LOC_Os02g09720	data/Family/A/ABCB
ABCD1	Os01g0218700	LOC_Os01g11946	data/Family/A/ABCD
ABCD2	Os01g0966100	LOC_Os01g73530	data/Family/A/ABCD
ABCD3	Os05g0107600	LOC_Os05g01700	data/Family/A/ABCD
ABCE1	Os02g0282900	LOC_Os02g18180	data/Family/A/ABCE1
ABCF1	Os02g0826500	LOC_Os02g58020	data/Family/A/ABCF
ABCF2	Os03g0441500	LOC_Os03g32630	data/Family/A/ABCF
ABCF3	Os04g0658400	LOC_Os04g56330	data/Family/A/ABCF
ABCF4	Os08g0564100	LOC_Os08g45010	data/Family/A/ABCF
ABCF5	Os09g0572400	LOC_Os09g39910	data/Family/A/ABCF
ABCF6	Os11g0603200	LOC_Os11g39020	data/Family/A/ABCF
ABCI1	Os04g0627200	LOC_Os04g53550	data/Family/A/ABCI
ABCI10	Os04g0553000	LOC_Os04g46700	data/Family/A/ABCI
ABCI11	Os01g0974000	LOC_Os01g74280	data/Family/A/ABCI
ABCI13	Os01g0614700	LOC_Os01g42830	data/Family/A/ABCI
ABCI14	Os02g0810300	LOC_Os02g56550	data/Family/A/ABCI
ABCI15	Os03g0316900	LOC_Os03g20170	data/Family/A/ABCI
ABCI16	Os10g0476000	LOC_Os10g33630	data/Family/A/ABCI
ABCI4	Os01g0127300	LOC_Os01g03650	data/Family/A/ABCI
ABCI5	Os01g0830000	LOC_Os01g61400	data/Family/A/ABCI
ABCI6	Os01g0770500	LOC_Os01g56400	data/Family/A/ABCI
ABCI7	Os11g0490800	LOC_Os11g29850	data/Family/A/ABCI
ABCI8	Os05g0400600	LOC_Os05g33230	data/Family/A/ABCI
ABCI9	Os03g0670100	LOC_Os03g46740	data/Family/A/ABCI
ACR5	Os03g0598100	LOC_Os03g40100	data/Family/A/ACR
ACR6	Os04g0391500	LOC_Os04g32110	data/Family/A/ACR
ACR8	Os08g0533600	LOC_Os08g42100	data/Family/A/ACR
AGP1	Os08g0482300	LOC_Os08g37630	data/Family/A/AGP
AGP10	Os08g0490400	LOC_Os08g38250	data/Family/A/AGP
AGP12	Os01g0110200	LOC_Os01g02010	data/Family/A/AGP
AGP14	Os01g0559900	LOC_Os01g37950	data/Family/A/AGP
AGP15	Os01g0592500	LOC_Os01g40950	data/Family/A/AGP
AGP16	Os01g0657000	LOC_Os01g46850	data/Family/A/AGP
AGP17	Os01g0756900	LOC_Os01g55220	data/Family/A/AGP
AGP19	Os01g0778400	LOC_Os01g57040	data/Family/A/AGP
AGP2	Os01g0937900	LOC_Os01g71170	data/Family/A/AGP
AGP20	Os02g0264800	LOC_Os02g16500	data/Family/A/AGP
AGP21	Os02g0718600	LOC_Os02g48710	data/Family/A/AGP
AGP22	Os02g0718100	None	data/Family/A/AGP
AGP23	Os05g0217000	LOC_Os05g12580	data/Family/A/AGP
AGP24	Os06g0318800	None	data/Family/A/AGP
AGP25	Os06g0318900	None	data/Family/A/AGP
AGP26	Os06g0505700	LOC_Os06g30920	data/Family/A/AGP
AGP27	Os07g0573900	LOC_Os07g38630	data/Family/A/AGP
AGP29	Os01g0607100	LOC_Os01g42210	data/Family/A/AGP
AGP3	Os03g0188500	None	data/Family/A/AGP
AGP30	Os02g0196100	LOC_Os02g10240	data/Family/A/AGP
AGP31	Os03g0852400	LOC_Os03g63540	data/Family/A/AGP
AGP4	Os04g0450701	LOC_Os04g37770	data/Family/A/AGP
AGP5	Os04g0545250	None	data/Family/A/AGP
AGP6	Os05g0443200	LOC_Os05g37110	data/Family/A/AGP
AGP7	Os06g0284900	LOC_Os06g17450	data/Family/A/AGP
AGP9	Os10g0377150	None	data/Family/A/AGP
AM1	Os04g0134800	LOC_Os04g04750	data/Family/A/AM
AM10	Os05g0289700	LOC_Os05g22300	data/Family/A/AM
AM11	Os06g0305400	LOC_Os06g20110	data/Family/A/AM
AM11	Os06g0305400	LOC_Os06g20120	data/Family/A/AM
AM15	Os01g0782901	LOC_Os01g57390	data/Family/A/AM
AM20	Os04g0280600	LOC_Os04g21160	data/Family/A/AM
AM24	Os02g0124300	LOC_Os02g03190	data/Family/A/AM
AM25	Os06g0552700	LOC_Os06g35930	data/Family/A/AM
AM26	Os12g0487250	None	data/Family/A/AM
AM29	Os06g0535900	LOC_Os06g34470	data/Family/A/AM
AM3	Os01g0783000	LOC_Os01g57400	data/Family/A/AM
AM31	Os02g0124000	LOC_Os02g03150	data/Family/A/AM
AM39	Os04g0207600	LOC_Os04g13090	data/Family/A/AM
AM42	Os03g0582300	LOC_Os03g38600	data/Family/A/AM
AMT2;2	Os01g0831300	LOC_Os01g61510	data/Family/A/AMT
AMT3;1	Os01g0870300	LOC_Os01g65000	data/Family/A/AMT
AMT3;1	Os01g0870300	LOC_Os01g64990	data/Family/A/AMT
AMT3;2	Os03g0838400	LOC_Os03g62200	data/Family/A/AMT
AMT3;3	Os02g0550800	LOC_Os02g34580	data/Family/A/AMT
AMT4;1	Os03g0749000	LOC_Os03g53780	data/Family/A/AMT
AMT5;1	Os12g0105100	LOC_Os12g01420	data/Family/A/AMT
AMT5;2	Os11g0105300	LOC_Os11g01410	data/Family/A/AMT
AP2;EREBP101	Os06g0197600	LOC_Os06g09717	data/Family/A/AP2
AP2;EREBP109	Os08g0442400	LOC_Os08g34360	data/Family/A/AP2
AP2;EREBP127	Os01g0693400	LOC_Os01g49830	data/Family/A/AP2
AP2;EREBP129	Os01g0141000	LOC_Os01g04800	data/Family/A/AP2
