Symbol	RAPdb	MSU	path
ABC1|OsFd-GOGAT|SPL32|ES7	Os07g0658400	LOC_Os07g46460	data/Gene/Abstract/A/ABC1
AChE	Os07g0586200	LOC_Os07g39750	data/Gene/Abstract/A/AChE
ACL1	Os04g0415000	LOC_Os04g33860	data/Gene/Abstract/A/ACL1
ACL2	Os02g0536500	LOC_Os02g33330	data/Gene/Abstract/A/ACL2
ACR7	Os03g0413100	LOC_Os03g29980	data/Gene/Abstract/OS/A/OsACR7
ADCa|OsAdc2	Os04g0107600	LOC_Os04g01690	data/Gene/Body/A/ADCa~OsAdc2
Adh1	Os11g0210300	LOC_Os11g10480	data/Gene/Abstract/A/Adh1
Adk-a	Os12g0236400	LOC_Os12g13380	data/Gene/Abstract/A/Adk-a
Adk-b	Os11g0312220	LOC_Os11g20790	data/Gene/Abstract/A/Adk-b
ADL1|OsDEK1	Os02g0709400	LOC_Os02g47970	data/Gene/Abstract/OS/D/OsDEK1
AGO18|OsAGO18	Os07g0471300	LOC_Os07g28850	data/Gene/Abstract/A/AGO18
AID1	Os06g0181300	LOC_Os06g08290	data/Gene/Abstract/A/AID1
akin-b|akin-beta	Os05g0491200	LOC_Os05g41220	data/Gene/Body/A/akin-b~akin-beta
AKR4C14|OsI_04428|OsAKR2	Os01g0847700	LOC_Os01g62870	data/Gene/Abstract/A/AKR4C14~OsI_04428
AL1	Os01g0382200	LOC_Os01g28474	data/Gene/Abstract/A/AL1
AL2	Os09g0363100	LOC_Os09g19850	data/Gene/Abstract/A/AL2
AL8|RAE2|GAD1	Os08g0485500	LOC_Os08g37890	data/Gene/Abstract/A/AL8
AlaAT|OsAlaAT1	Os10g0390500	LOC_Os10g25130	data/Gene/Abstract/A/AlaAT
ALDH2a|OsALDH2B5	Os02g0730000	LOC_Os02g49720	data/Gene/Abstract/OS/A/OsALDH2a~OsALDH2B5
ALK|SSIIa	Os06g0229800	LOC_Os06g12450	data/Gene/Abstract/A/ALK~SSIIa
alpha1a	Os01g0253300	LOC_Os01g14950	data/Gene/Abstract/0-9/alpha1a
alpha1b	Os05g0155500	LOC_Os05g06350	data/Gene/Abstract/0-9/alpha1b
alpha2	Os01g0158000	LOC_Os01g06470	data/Gene/Abstract/0-9/alpha2
alphaAmy3|OsAmy3D|RAmy3D	Os08g0473900	LOC_Os08g36910	data/Gene/Abstract/OS/A/OsAmy3D~RAmy3D
ALS3	Os01g0674700	LOC_Os01g48380	data/Gene/Abstract/A/ALS3
ALT-2	Os07g0108300	LOC_Os07g01760	data/Gene/Body/A/ALT-2
ALT1	Os01g0779400	LOC_Os01g57110	data/Gene/Abstract/A/ALT1
AM1	Os04g0682800	LOC_Os04g58620	data/Gene/Abstract/A/AM1
AmyI-1|RAmy1A	Os02g0765600	LOC_Os02g52710	data/Gene/Abstract/R/RAmy1A
An-1	Os04g0350700	LOC_Os04g28280	data/Gene/Abstract/A/An-1
AOX1a|OsAOX1a	Os04g0600200	LOC_Os04g51150	data/Gene/Abstract/OS/A/OsAOX1a
AP37|OsERF3	Os01g0797600	LOC_Os01g58420	data/Gene/Abstract/OS/E/OsERF3
AP59|OsBIERF3|OsAP59	Os02g0654700	LOC_Os02g43790	data/Gene/Abstract/OS/B/OsBIERF3
APG|OsPIL16	Os05g0139100	LOC_Os05g04740	data/Gene/Abstract/OS/P/OsPIL16
APIP10	Os02g0182900	LOC_Os02g09060	data/Gene/Abstract/A/APIP10
APIP12	Os01g0383900	LOC_Os01g28690	data/Gene/Abstract/A/APIP12
APIP5|OsbZIP53	Os06g0716800	LOC_Os06g50310	data/Gene/Abstract/A/APIP5
APIP6	Os05g0154600	LOC_Os05g06270	data/Gene/Abstract/A/APIP6
APO1|OsAPO1|SCM2	Os06g0665400	LOC_Os06g45460	data/Gene/Abstract/OS/A/OsAPO1~SCM2
ARAG1	Os02g0657000	LOC_Os02g43970	data/Gene/Abstract/A/ARAG1
ARF8	Os02g0628600	LOC_Os02g41800	data/Gene/Abstract/A/ARF8
ARK1	None	LOC_Os11g26140	data/Gene/Abstract/A/ARK1
ART1	Os12g0170400	LOC_Os12g07280	data/Gene/Abstract/A/ART1
ART2	Os04g0165200	LOC_Os04g08290	data/Gene/Abstract/A/ART2
ASCAB9-A|CP26|Lhcb5	Os11g0242800	LOC_Os11g13890	data/Gene/Body/A/ASCAB9-A~CP26~Lhcb5
ASL1	Os01g0678600	LOC_Os01g48690	data/Gene/Abstract/A/ASL1
ASL2	Os02g0259600	LOC_Os02g15900	data/Gene/Abstract/A/ASL2
ASPR1|OsTPR1	Os01g0254100	LOC_Os01g15020	data/Gene/Abstract/A/ASPR1
ASPR2|OsTPR2	Os03g0254700	LOC_Os03g14980	data/Gene/Abstract/A/ASPR2
Asr1	Os01g0959100	LOC_Os01g72900	data/Gene/Abstract/A/Asr1
Asr2	Os01g0959200	LOC_Os01g72910	data/Gene/Abstract/A/Asr2
Asr3|OsASR3	Os02g0543000	LOC_Os02g33820	data/Gene/Abstract/OS/A/OsASR3
Asr4	Os04g0423400	LOC_Os04g34600	data/Gene/Abstract/A/Asr4
ASR5|OsAsr1|OsASR2	Os11g0167800	LOC_Os11g06720	data/Gene/Abstract/OS/A/ASR5~OsAsr1
Asr6	Os01g0963600	LOC_Os01g73250	data/Gene/Abstract/A/Asr6
ATG6B	Os03g0644000	LOC_Os03g44200	data/Gene/Body/A/ATG6B
ATG6C	Os03g0258500	LOC_Os03g15290	data/Gene/Body/A/ATG6C
AUMO1	Os03g0153500	LOC_Os03g05880	data/Gene/Abstract/A/AUMO1
BAD1|OsBADH1	Os04g0464200	LOC_Os04g39020	data/Gene/Abstract/OS/B/OsBADH1
BAS1|OsTPX|OsPRX2	Os02g0537700	LOC_Os02g33450	data/Gene/Abstract/B/BAS1~OsTPX
