NIP.MSU	NIP.RAPdb	MH63	ZS97
LOC_Os01g01010	Os01g0100100	None	None
LOC_Os01g01019	Os01g0100200	None	None
LOC_Os01g01030	Os01g0100400	None	None
LOC_Os01g01040	Os01g0100500	None	None
LOC_Os01g01050	Os01g0100600	None	None
LOC_Os01g01060	Os01g0100700	None	None
LOC_Os01g01070	Os01g0100800	None	ZS01g0010400
LOC_Os01g01080	Os01g0100900	MH01g0010100	ZS01g0010500
LOC_Os01g01090	None	MH01g0010200	ZS01g0010600
LOC_Os01g01100	None	MH01g0010300	None
LOC_Os01g01110	None	None	None
LOC_Os01g01115	Os01g0101150	MH01g0010500	None
LOC_Os01g01120	Os01g0101200	None	None
LOC_Os01g01130	Os01g0101300	MH01g0010700	ZS01g0011100
LOC_Os01g01140	Os01g0101500	None	None
LOC_Os01g01150	Os01g0101600	MH01g0011000	ZS01g0011300
LOC_Os01g01160	Os01g0101700	None	None
LOC_Os01g01170	Os01g0101800	MH01g0011200	ZS01g0011500
LOC_Os01g01180	Os01g0101900	None	None
LOC_Os01g01190	Os01g0102000	None	None
LOC_Os01g01200	None	None	ZS01g0011600
LOC_Os01g01210	None	None	None
LOC_Os01g01230	None	None	None
LOC_Os01g01240	None	None	None
LOC_Os01g01250	None	None	None
LOC_Os01g01260	None	None	None
LOC_Os01g01270	None	None	None
LOC_Os01g01280	Os01g0102300	MH01g0011800	None
LOC_Os01g01290	Os01g0102400	None	None
LOC_Os01g01295	Os01g0102500	None	None
LOC_Os01g01302	Os01g0102600	MH01g0012100	ZS01g0012500
LOC_Os01g01307	Os01g0102700	MH01g0012200	ZS01g0012600
LOC_Os01g01312	Os01g0102800	MH01g0012300	ZS01g0012700
LOC_Os01g01320	None	None	None
LOC_Os01g01330	None	None	None
LOC_Os01g01340	Os01g0102900	None	None
LOC_Os01g01350	Os01g0103000	MH01g0012700	ZS01g0013100
LOC_Os01g01360	Os01g0103100	MH01g0012800	ZS01g0013200
LOC_Os01g01369	Os01g0103600	MH01g0012900	None
LOC_Os01g01380	Os01g0103700	None	ZS01g0013600
