Os01g0100100	LOC_Os01g01010.1,LOC_Os01g01010.2
Os01g0100200	LOC_Os01g01019.1
Os01g0100300	None
Os01g0100400	LOC_Os01g01030.1
Os01g0100466	None
Os01g0100500	LOC_Os01g01040.1,LOC_Os01g01040.2,LOC_Os01g01040.3,LOC_Os01g01040.4
Os01g0100600	LOC_Os01g01050.1,LOC_Os01g01050.2
Os01g0100650	None
Os01g0100700	LOC_Os01g01060.1
Os01g0100800	LOC_Os01g01070.1,LOC_Os01g01070.2,LOC_Os01g01070.3
Os01g0100900	LOC_Os01g01080.1,LOC_Os01g01080.2,LOC_Os01g01080.3
Os01g0101150	LOC_Os01g01115.1
Os01g0101175	None
Os01g0101200	LOC_Os01g01120.1
Os01g0101300	LOC_Os01g01130.1
Os01g0101500	LOC_Os01g01140.1
Os01g0101600	LOC_Os01g01150.1,LOC_Os01g01150.2,LOC_Os01g01150.3
Os01g0101700	LOC_Os01g01160.1
Os01g0101800	LOC_Os01g01170.1
Os01g0101850	None
Os01g0101900	LOC_Os01g01180.1
Os01g0102000	LOC_Os01g01190.1
Os01g0102300	LOC_Os01g01280.1
Os01g0102400	LOC_Os01g01290.1
Os01g0102500	LOC_Os01g01295.1
Os01g0102600	LOC_Os01g01302.1
Os01g0102700	LOC_Os01g01307.1,LOC_Os01g01307.2
Os01g0102800	LOC_Os01g01312.1
Os01g0102850	None
Os01g0102900	LOC_Os01g01340.1,LOC_Os01g01340.2
Os01g0103000	LOC_Os01g01350.1,LOC_Os01g01350.2
Os01g0103050	None
Os01g0103075	None
Os01g0103100	LOC_Os01g01360.1
Os01g0103400	None
Os01g0103600	LOC_Os01g01369.1
Os01g0103650	None
Os01g0103700	LOC_Os01g01380.1
Os01g0103800	LOC_Os01g01390.1,LOC_Os01g01390.2,LOC_Os01g01390.3,LOC_Os01g01390.4,LOC_Os01g01390.5
Os01g0103900	LOC_Os01g01400.1
Os01g0104000	LOC_Os01g01410.1,LOC_Os01g01410.2
Os01g0104100	LOC_Os01g01420.1,LOC_Os01g01420.2,LOC_Os01g01420.3
Os01g0104200	LOC_Os01g01430.1
Os01g0104300	LOC_Os01g01440.1
Os01g0104350	None
Os01g0104400	LOC_Os01g01450.1,LOC_Os01g01450.2
Os01g0104500	LOC_Os01g01470.1
Os01g0104600	LOC_Os01g01484.1,LOC_Os01g01484.2,LOC_Os01g01484.4,LOC_Os01g01484.5
Os01g0104800	LOC_Os01g01510.1,LOC_Os01g01510.2
Os01g0104900	LOC_Os01g01520.1
Os01g0105300	LOC_Os01g01560.1
Os01g0105400	LOC_Os01g01570.1
Os01g0105450	None
Os01g0105700	LOC_Os01g01600.1
Os01g0105800	LOC_Os01g01610.1
Os01g0105900	LOC_Os01g01620.1
Os01g0106200	LOC_Os01g01640.1
Os01g0106300	LOC_Os01g01650.1
Os01g0106400	LOC_Os01g01660.1
Os01g0106500	LOC_Os01g01670.1,LOC_Os01g01670.2
Os01g0106600	LOC_Os01g01680.1
Os01g0106700	LOC_Os01g01689.1,LOC_Os01g01689.3
Os01g0106750	LOC_Os01g01689.1,LOC_Os01g01689.3
Os01g0106800	LOC_Os01g01700.1
Os01g0106900	LOC_Os01g01710.1,LOC_Os01g01710.2
Os01g0107000	LOC_Os01g01720.1,LOC_Os01g01720.2
Os01g0107200	LOC_Os01g01730.1
Os01g0107400	LOC_Os01g01740.1
Os01g0107700	LOC_Os01g01780.1
Os01g0107750	None
Os01g0107801	None
Os01g0107900	LOC_Os01g01790.1,LOC_Os01g01790.2
Os01g0108000	LOC_Os01g01800.1,LOC_Os01g01800.2
Os01g0108200	LOC_Os01g01830.1
Os01g0108400	LOC_Os01g01840.1
Os01g0108500	LOC_Os01g01840.1
Os01g0108600	LOC_Os01g01870.1
Os01g0108700	LOC_Os01g01880.1
Os01g0108800	LOC_Os01g01890.1
Os01g0109000	None
Os01g0109200	LOC_Os01g01930.1
Os01g0109201	None
Os01g0109300	LOC_Os01g01920.1,LOC_Os01g01920.2
Os01g0109366	LOC_Os01g01925.1
Os01g0109432	None
Os01g0109500	LOC_Os01g01940.1
Os01g0109600	LOC_Os01g01950.1
Os01g0109700	LOC_Os01g01960.1
Os01g0109750	LOC_Os01g01970.1,LOC_Os01g01970.2
Os01g0109900	LOC_Os01g01980.1
Os01g0110050	None
Os01g0110100	LOC_Os01g02000.1
Os01g0110200	LOC_Os01g02010.1
Os01g0110400	LOC_Os01g02020.1,LOC_Os01g02020.3
Os01g0110500	LOC_Os01g02040.1,LOC_Os01g02040.2
Os01g0110600	None
Os01g0110700	LOC_Os01g02050.1
Os01g0110800	LOC_Os01g02060.1,LOC_Os01g02060.2
Os01g0110901	None
Os01g0111000	LOC_Os01g02070.1
Os01g0111100	LOC_Os01g02080.1
Os01g0111200	LOC_Os01g02090.1,LOC_Os01g02090.2
Os01g0111300	None
Os01g0111400	LOC_Os01g02100.1,LOC_Os01g02100.2,LOC_Os01g02100.3,LOC_Os01g02100.4
Os01g0111500	LOC_Os01g02110.1
Os01g0111600	LOC_Os01g02120.1
Os01g0111700	LOC_Os01g02130.1
Os01g0111800	LOC_Os01g02139.1
Os01g0111900	LOC_Os01g02150.1
Os01g0112000	LOC_Os01g02160.1
